date,engine,id,mode,query,type
22:05:59   5/13/2018,google,249,timed,nfl draft,query
22:05:52   5/13/2018,google,248,timed,face transplant,query
22:05:42   5/13/2018,google,247,timed,netflix,query
22:05:33   5/13/2018,google,246,timed,taiwan earthquake,query
22:05:25   5/13/2018,google,245,timed,kentucky derby,query
22:05:15   5/13/2018,google,244,timed,gang starr,query
22:05:08   5/13/2018,google,243,timed,nasa space shuttle,query
22:05:00   5/13/2018,google,242,timed,jennifer aniston,query
22:04:53   5/13/2018,google,241,timed,box jellyfish,query
22:04:44   5/13/2018,google,240,timed,palm,query
22:04:35   5/13/2018,google,239,timed,yahoo,query
22:04:28   5/13/2018,google,238,timed,Dancing the Stars,query
22:04:20   5/13/2018,google,237,timed,with the,query
22:04:11   5/13/2018,google,236,timed,m.i.a.,query
22:04:03   5/13/2018,google,235,timed,ebay,query
22:03:55   5/13/2018,google,234,timed,m.i.a.,query
22:03:47   5/13/2018,google,233,timed,Einstein Horse,query
22:03:39   5/13/2018,google,232,timed,Earth Day,query
22:03:30   5/13/2018,google,231,timed,palm,query
22:03:21   5/13/2018,google,230,timed,star trek,query
22:03:12   5/13/2018,google,229,timed,dell,query
22:03:03   5/13/2018,google,228,timed,comic book,query
22:02:55   5/13/2018,google,227,timed,free book day,query
22:02:47   5/13/2018,google,226,timed,Free Book Day,query
22:02:38   5/13/2018,google,225,timed,free book day,query
22:02:30   5/13/2018,google,224,timed,free day,query
22:02:22   5/13/2018,google,223,timed,dukan diet,query
22:02:13   5/13/2018,google,222,timed,tito ortiz,query
22:02:04   5/13/2018,google,221,timed,malcolm x,query
22:01:57   5/13/2018,google,220,timed,beastie boys,query
22:01:49   5/13/2018,google,219,timed,dukan diet,query
22:01:41   5/13/2018,google,218,timed,amtrak,query
22:01:32   5/13/2018,google,217,timed,george clooney,query
22:01:25   5/13/2018,google,216,timed,peta,query
22:01:17   5/13/2018,google,215,timed,beastie boys,query
22:01:08   5/13/2018,google,214,timed,mariah carey,query
22:01:01   5/13/2018,google,213,timed,tito ortiz,query
22:00:52   5/13/2018,google,212,timed,ipad cases,query
22:00:44   5/13/2018,google,211,timed,hugh hefner,query
22:00:36   5/13/2018,google,210,timed,facebook,query
22:00:27   5/13/2018,google,209,timed,M.I.A.,query
22:00:19   5/13/2018,google,208,timed,nfl draft,query
22:00:11   5/13/2018,google,207,timed,walmart,query
22:00:03   5/13/2018,google,206,timed,best buy,query
21:59:54   5/13/2018,google,205,timed,joey lawrence,query
21:59:46   5/13/2018,google,204,timed,oil spill,query
21:59:39   5/13/2018,google,203,timed,netflix,query
21:59:29   5/13/2018,google,202,timed,craigslist,query
21:59:21   5/13/2018,google,201,timed,dorothy height,query
21:59:14   5/13/2018,google,200,timed,blackberry pearl,query
21:59:06   5/13/2018,google,199,timed,Kate Gosselin,query
21:58:59   5/13/2018,google,198,timed,dorothy height,query
21:58:50   5/13/2018,google,197,timed,kelley blue book,query
21:58:41   5/13/2018,google,196,timed,rebbie jackson,query
21:58:32   5/13/2018,google,195,timed,nasa space shuttle,query
21:58:22   5/13/2018,google,194,timed,iraq,query
21:58:13   5/13/2018,google,193,timed,facebook,query
21:58:06   5/13/2018,google,192,timed,heather locklear,query
21:57:57   5/13/2018,google,191,timed,malcolm x,query
21:57:48   5/13/2018,google,190,timed,craigslist,query
21:57:41   5/13/2018,google,189,timed,michael douglas,query
21:57:33   5/13/2018,google,188,timed,rebbie jackson,query
21:57:25   5/13/2018,google,187,timed,new 100 bill,query
